K-means_label,category,title,abstract
0,0,Semantically Aligned Task Decomposition in Multi-Agent Reinforcement Learning,"The difficulty of appropriately assigning credit is particularly heightened
in cooperative MARL with sparse reward, due to the concurrent time and
structural scales involved. Automatic subgoal generation (ASG) has recently
emerged as a viable MARL approach inspired by utilizing subgoals in
intrinsically motivated reinforcement learning. However, end-to-end learning of
complex task planning from sparse rewards without prior knowledge, undoubtedly
requires massive training samples. Moreover, the diversity-promoting nature of
existing ASG methods can lead to the ""over-representation"" of subgoals,
generating numerous spurious subgoals of limited relevance to the actual task
reward and thus decreasing the sample efficiency of the algorithm. To address
this problem and inspired by the disentangled representation learning, we
propose a novel ""disentangled"" decision-making method, Semantically Aligned
task decomposition in MARL (SAMA), that prompts pretrained language models with
chain-of-thought that can suggest potential goals, provide suitable goal
decomposition and subgoal allocation as well as self-reflection-based
replanning. Additionally, SAMA incorporates language-grounded RL to train each
agent's subgoal-conditioned policy. SAMA demonstrates considerable advantages
in sample efficiency compared to state-of-the-art ASG methods, as evidenced by
its performance on two challenging sparse-reward tasks, Overcooked and MiniRTS."
1,0,Q-SHED: Distributed Optimization at the Edge via Hessian Eigenvectors Quantization,"Edge networks call for communication efficient (low overhead) and robust
distributed optimization (DO) algorithms. These are, in fact, desirable
qualities for DO frameworks, such as federated edge learning techniques, in the
presence of data and system heterogeneity, and in scenarios where internode
communication is the main bottleneck. Although computationally demanding,
Newton-type (NT) methods have been recently advocated as enablers of robust
convergence rates in challenging DO problems where edge devices have sufficient
computational power. Along these lines, in this work we propose Q-SHED, an
original NT algorithm for DO featuring a novel bit-allocation scheme based on
incremental Hessian eigenvectors quantization. The proposed technique is
integrated with the recent SHED algorithm, from which it inherits appealing
features like the small number of required Hessian computations, while being
bandwidth-versatile at a bit-resolution level. Our empirical evaluation against
competing approaches shows that Q-SHED can reduce by up to 60% the number of
communication rounds required for convergence."
0,0,On the Geometric Convergence of Byzantine-Resilient Distributed Optimization Algorithms,"The problem of designing distributed optimization algorithms that are
resilient to Byzantine adversaries has received significant attention. For the
Byzantine-resilient distributed optimization problem, the goal is to
(approximately) minimize the average of the local cost functions held by the
regular (non adversarial) agents in the network. In this paper, we provide a
general algorithmic framework for Byzantine-resilient distributed optimization
which includes some state-of-the-art algorithms as special cases. We analyze
the convergence of algorithms within the framework, and derive a geometric rate
of convergence of all regular agents to a ball around the optimal solution
(whose size we characterize). Furthermore, we show that approximate consensus
can be achieved geometrically fast under some minimal conditions. Our analysis
provides insights into the relationship among the convergence region, distance
between regular agents' values, step-size, and properties of the agents'
functions for Byzantine-resilient distributed optimization."
0,0,Discovering Individual Rewards in Collective Behavior through Inverse Multi-Agent Reinforcement Learning,"The discovery of individual objectives in collective behavior of complex
dynamical systems such as fish schools and bacteria colonies is a long-standing
challenge. Inverse reinforcement learning is a potent approach for addressing
this challenge but its applicability to dynamical systems, involving continuous
state-action spaces and multiple interacting agents, has been limited. In this
study, we tackle this challenge by introducing an off-policy inverse
multi-agent reinforcement learning algorithm (IMARL). Our approach combines the
ReF-ER techniques with guided cost learning. By leveraging demonstrations, our
algorithm automatically uncovers the reward function and learns an effective
policy for the agents. Through extensive experimentation, we demonstrate that
the proposed policy captures the behavior observed in the provided data, and
achieves promising results across problem domains including single agent models
in the OpenAI gym and multi-agent models of schooling behavior. The present
study shows that the proposed IMARL algorithm is a significant step towards
understanding collective dynamics from the perspective of its constituents, and
showcases its value as a tool for studying complex physical systems exhibiting
collective behaviour."
0,0,Optimal Seat Arrangement: What Are the Hard and Easy Cases?,"We study four NP-hard optimal seat arrangement problems [Bodlaender et al.,
2020a], which each have as input a set of n agents, where each agent has
cardinal preferences over other agents, and an n-vertex undirected graph
(called seat graph). The task is to assign each agent to a distinct vertex in
the seat graph such that either the sum of utilities or the minimum utility is
maximized, or it is envy-free or exchange-stable. Aiming at identifying hard
and easy cases, we extensively study the algorithmic complexity of the four
problems by looking into natural graph classes for the seat graph (e.g., paths,
cycles, stars, or matchings), problem-specific parameters (e.g., the number of
non-isolated vertices in the seat graph or the maximum number of agents towards
whom an agent has non-zero preferences), and preference structures (e.g.,
non-negative or symmetric preferences). For strict preferences and seat graphs
with disjoint edges and isolated vertices, we correct an error by Bodlaender et
al. [2020b] and show that finding an envy-free arrangement remains NP-hard in
this case."
0,0,Set-Membership Filtering-Based Cooperative State Estimation for Multi-Agent Systems,"In this article, we focus on the cooperative state estimation problem of a
multi-agent system. Each agent is equipped with absolute and relative
measurements. The purpose of this research is to make each agent generate its
own state estimation with only local measurement information and local
communication with neighborhood agents using Set Membership Filter(SMF). To
handle this problem, we analyzed centralized SMF framework as a benchmark of
distributed SMF and propose a finite-horizon method called OIT-Inspired
centralized constrained zonotopic algorithm. Moreover, we put forward a
distributed Set Membership Filtering(SMFing) framework and develop a
distributed constained zonotopic algorithm. Finally, simulation verified our
theoretical results, that our proposed algorithms can effectively estimate the
state of each agent."
0,0,Principal-Agent Boolean Games,"We introduce and study a computational version of the principal-agent problem
-- a classic problem in Economics that arises when a principal desires to
contract an agent to carry out some task, but has incomplete information about
the agent or their subsequent actions. The key challenge in this setting is for
the principal to design a contract for the agent such that the agent's
preferences are then aligned with those of the principal. We study this problem
using a variation of Boolean games, where multiple players each choose
valuations for Boolean variables under their control, seeking the satisfaction
of a personal goal, given as a Boolean logic formula. In our setting, the
principal can only observe some subset of these variables, and the principal
chooses a contract which rewards players on the basis of the assignments they
make for the variables that are observable to the principal. The principal's
challenge is to design a contract so that, firstly, the principal's goal is
achieved in some or all Nash equilibrium choices, and secondly, that the
principal is able to verify that their goal is satisfied. In this paper, we
formally define this problem and completely characterise the computational
complexity of the most relevant decision problems associated with it."
0,0,Agent Heterogeneity Mediates Extremism in an Adaptive Social Network Model,"An existing model of opinion dynamics on an adaptive social network is
extended to introduce update policy heterogeneity, representing the fact that
individual differences between social animals can affect their tendency to
form, and be influenced by, their social bonds with other animals. As in the
original model, the opinions and social connections of a population of model
agents change due to three social processes: conformity, homophily and
neophily. Here, however, we explore the case in which each node's
susceptibility to these three processes is parameterised by node-specific
values drawn independently at random from some distribution. This introduction
of heterogeneity increases both the degree of extremism and connectedness in
the final population (relative to comparable homogeneous networks) and leads to
significant assortativity with respect to node update policy parameters as well
as node opinions. Each node's update policy parameters also predict properties
of the community that they will belong to in the final network configuration.
These results suggest that update policy heterogeneity in social populations
may have a significant impact on the formation of extremist communities in
real-world populations."
0,0,Collective Large-scale Wind Farm Multivariate Power Output Control Based on Hierarchical Communication Multi-Agent Proximal Policy Optimization,"Wind power is becoming an increasingly important source of renewable energy
worldwide. However, wind farm power control faces significant challenges due to
the high system complexity inherent in these farms. A novel communication-based
multi-agent deep reinforcement learning large-scale wind farm multivariate
control is proposed to handle this challenge and maximize power output. A wind
farm multivariate power model is proposed to study the influence of wind
turbines (WTs) wake on power. The multivariate model includes axial induction
factor, yaw angle, and tilt angle controllable variables. The hierarchical
communication multi-agent proximal policy optimization (HCMAPPO) algorithm is
proposed to coordinate the multivariate large-scale wind farm continuous
controls. The large-scale wind farm is divided into multiple wind turbine
aggregators (WTAs), and neighboring WTAs can exchange information through
hierarchical communication to maximize the wind farm power output. Simulation
results demonstrate that the proposed multivariate HCMAPPO can significantly
increase wind farm power output compared to the traditional PID control,
coordinated model-based predictive control, and multi-agent deep deterministic
policy gradient algorithm. Particularly, the HCMAPPO algorithm can be trained
with the environment based on the thirteen-turbine wind farm and effectively
applied to larger wind farms. At the same time, there is no significant
increase in the fatigue damage of the wind turbine blade from the wake control
as the wind farm scale increases. The multivariate HCMAPPO control can realize
the collective large-scale wind farm maximum power output."
0,0,Synthesizing Resilient Strategies for Infinite-Horizon Objectives in Multi-Agent Systems,"We consider the problem of synthesizing resilient and stochastically stable
strategies for systems of cooperating agents striving to minimize the expected
time between consecutive visits to selected locations in a known environment. A
strategy profile is resilient if it retains its functionality even if some of
the agents fail, and stochastically stable if the visiting time variance is
small. We design a novel specification language for objectives involving
resilience and stochastic stability, and we show how to efficiently compute
strategy profiles (for both autonomous and coordinated agents) optimizing these
objectives. Our experiments show that our strategy synthesis algorithm can
construct highly non-trivial and efficient strategy profiles for environments
with general topology."
0,0,A Deep RL Approach on Task Placement and Scaling of Edge Resources for Cellular Vehicle-to-Network Service Provisioning,"Cellular-Vehicle-to-Everything (C-V2X) is currently at the forefront of the
digital transformation of our society. By enabling vehicles to communicate with
each other and with the traffic environment using cellular networks, we
redefine transportation, improving road safety and transportation services,
increasing efficiency of traffic flows, and reducing environmental impact. This
paper proposes a decentralized approach for provisioning Cellular
Vehicular-to-Network (C-V2N) services, addressing the coupled problems of
service task placement and scaling of edge resources. We formalize the joint
problem and prove its complexity. We propose an approach to tackle it, linking
the two problems, employing decentralized decision-making using (i) a greedy
approach for task placement and (ii) a Deep Deterministic Policy Gradient
(DDPG) based approach for scaling. We benchmark the performance of our
approach, focusing on the scaling agent, against several State-of-the-Art (SoA)
scaling approaches via simulations using a real C-V2N traffic data set. The
results show that DDPG-based solutions outperform SoA solutions, keeping the
latency experienced by the C-V2N service below the target delay while
optimizing the use of computing resources. By conducting a complexity analysis,
we prove that DDPG-based solutions achieve runtimes in the range of
sub-milliseconds, meeting the strict latency requirements of C-V2N services."
0,0,RAMario: Experimental Approach to Reptile Algorithm -- Reinforcement Learning for Mario,"This research paper presents an experimental approach to using the Reptile
algorithm for reinforcement learning to train a neural network to play Super
Mario Bros. We implement the Reptile algorithm using the Super Mario Bros Gym
library and TensorFlow in Python, creating a neural network model with a single
convolutional layer, a flatten layer, and a dense layer. We define the
optimizer and use the Reptile class to create an instance of the Reptile
meta-learning algorithm. We train the model using multiple tasks and episodes,
choosing actions using the current weights of the neural network model, taking
those actions in the environment, and updating the model weights using the
Reptile algorithm. We evaluate the performance of the algorithm by printing the
total reward for each episode. In addition, we compare the performance of the
Reptile algorithm approach to two other popular reinforcement learning
algorithms, Proximal Policy Optimization (PPO) and Deep Q-Network (DQN),
applied to the same Super Mario Bros task. Our results demonstrate that the
Reptile algorithm provides a promising approach to few-shot learning in video
game AI, with comparable or even better performance than the other two
algorithms, particularly in terms of moves vs distance that agent performs for
1M episodes of training. The results shows that best total distance for world
1-2 in the game environment were ~1732 (PPO), ~1840 (DQN) and ~2300 (RAMario).
Full code is available at https://github.com/s4nyam/RAMario."
0,0,An Empirical Study on Google Research Football Multi-agent Scenarios,"Few multi-agent reinforcement learning (MARL) research on Google Research
Football (GRF) focus on the 11v11 multi-agent full-game scenario and to the
best of our knowledge, no open benchmark on this scenario has been released to
the public. In this work, we fill the gap by providing a population-based MARL
training pipeline and hyperparameter settings on multi-agent football scenario
that outperforms the bot with difficulty 1.0 from scratch within 2 million
steps. Our experiments serve as a reference for the expected performance of
Independent Proximal Policy Optimization (IPPO), a state-of-the-art multi-agent
reinforcement learning algorithm where each agent tries to maximize its own
policy independently across various training configurations. Meanwhile, we
open-source our training framework Light-MALib which extends the MALib codebase
by distributed and asynchronized implementation with additional analytical
tools for football games. Finally, we provide guidance for building strong
football AI with population-based training and release diverse pretrained
policies for benchmarking. The goal is to provide the community with a head
start for whoever experiment their works on GRF and a simple-to-use
population-based training framework for further improving their agents through
self-play. The implementation is available at
https://github.com/Shanghai-Digital-Brain-Laboratory/DB-Football."
0,0,Establishing Shared Query Understanding in an Open Multi-Agent System,"We propose a method that allows to develop shared understanding between two
agents for the purpose of performing a task that requires cooperation. Our
method focuses on efficiently establishing successful task-oriented
communication in an open multi-agent system, where the agents do not know
anything about each other and can only communicate via grounded interaction.
The method aims to assist researchers that work on human-machine interaction or
scenarios that require a human-in-the-loop, by defining interaction
restrictions and efficiency metrics. To that end, we point out the challenges
and limitations of such a (diverse) setup, while also restrictions and
requirements which aim to ensure that high task performance truthfully reflects
the extent to which the agents correctly understand each other. Furthermore, we
demonstrate a use-case where our method can be applied for the task of
cooperative query answering. We design the experiments by modifying an
established ontology alignment benchmark. In this example, the agents want to
query each other, while representing different databases, defined in their own
ontologies that contain different and incomplete knowledge. Grounded
interaction here has the form of examples that consists of common instances,
for which the agents are expected to have similar knowledge. Our experiments
demonstrate successful communication establishment under the required
restrictions, and compare different agent policies that aim to solve the task
in an efficient manner."
1,0,Robust Auction Design with Support Information,"A seller wants to sell an item to $n$ buyers. The buyer valuations are drawn
i.i.d. from a distribution, but the seller does not know this distribution; the
seller only knows the support $[a,b]$. To be robust against the lack of
knowledge of the environment and buyers' behavior, the seller optimizes over
DSIC mechanisms, and measures the worst-case performance relative to an oracle
with complete knowledge of buyers' valuations. Our analysis encompasses both
the regret and the ratio objectives.
  For these objectives, we derive an optimal mechanism in closed form as a
function of the support and the number of buyers $n$. Our analysis reveals
three regimes of support information and a new class of robust mechanisms. i.)
With ""low"" support information, the optimal mechanism is a second-price auction
(SPA) with a random reserve, a focal class in the earlier literature. ii.) With
""high"" support information, we show that second-price auctions are strictly
suboptimal, and an optimal mechanism belongs to a novel class of mechanisms we
introduce, which we call $\textbf{pooling auctions}$ (POOL); whenever the
highest value is above a threshold, the mechanism still allocates to the
highest bidder, but otherwise the mechanism allocates to a uniformly random
buyer, i.e., pools low types. iii.) With ""moderate"" support information, a
randomization between SPA and POOL is optimal.
  We also characterize optimal mechanisms within nested central subclasses of
mechanisms: standard mechanisms (only allocate to the highest bidder), SPA with
random reserve, and SPA with no reserve. We show strict separations across
classes, implying that deviating from standard mechanisms is necessary for
robustness. Lastly, we show that the same results hold under other distribution
classes that capture ""positive dependence"" (mixture of i.i.d., exchangeable and
affiliated), as well as i.i.d. regular distributions."
1,0,Deliberation and Voting in Approval-Based Multi-Winner Elections,"Citizen-focused democratic processes where participants deliberate on
alternatives and then vote to make the final decision are increasingly popular
today. While the computational social choice literature has extensively
investigated voting rules, there is limited work that explicitly looks at the
interplay of the deliberative process and voting. In this paper, we build a
deliberation model using established models from the opinion-dynamics
literature and study the effect of different deliberation mechanisms on voting
outcomes achieved when using well-studied voting rules. Our results show that
deliberation generally improves welfare and representation guarantees, but the
results are sensitive to how the deliberation process is organized. We also
show, experimentally, that simple voting rules, such as approval voting,
perform as well as more sophisticated rules such as proportional approval
voting or method of equal shares if deliberation is properly supported. This
has ramifications on the practical use of such voting rules in citizen-focused
democratic processes."
0,0,Exploration of unknown indoor regions by a swarm of energy-constrained drones,"Several distributed algorithms are presented for the exploration of unknown
indoor regions by a swarm of flying, energy constrained agents. The agents,
which are identical, autonomous, anonymous and oblivious, uniformly cover the
region and thus explore it using predefined action rules based on locally
sensed information and the energy level of the agents. While flying drones have
many advantages in search and rescue scenarios, their main drawback is a high
power consumption during flight combined with limited, on-board energy.
Furthermore, in these scenarios agent size is severely limited and consequently
so are the total weight and capabilities of the agents. The region is modeled
as a connected sub-set of a regular grid composed of square cells that the
agents enter, over time, via entry points. Some of the agents may settle in
unoccupied cells as the exploration progresses. Settled agents conserve energy
and become virtual pheromones for the exploration and coverage process, beacons
that subsequently aid the remaining, and still exploring, mobile agents. The
termination of the coverage process is based on a backward propagating
information diffusion scheme. Various algorithmical alternatives are discussed
and upper bounds derived and compared to experimental results. Finally, an
optimal entry rate that minimizes the total energy consumption is derived for
the case of a linear regions."
0,0,Multi-Cluster Aggregative Games: A Linearly Convergent Nash Equilibrium Seeking Algorithm and its Applications in Energy Management,"We propose a type of non-cooperative game, termed multi-cluster aggregative
game, which is composed of clusters as players, where each cluster consists of
collaborative agents with cost functions depending on their own decisions and
the aggregate quantity of each participant cluster to modeling large-scale and
hierarchical multi-agent systems. This novel game model is motivated by
decision-making problems in competitive-cooperative network systems with
large-scale nodes, such as the Energy Internet. To address challenges arising
in seeking Nash equilibrium for such network systems, we develop an algorithm
with a hierarchical communication topology which is a hybrid with distributed
and semi-decentralized protocols. The upper level consists of cluster
coordinators estimating the aggregate quantities with local communications,
while the lower level is cluster subnets composed of its coordinator and agents
aiming to track the gradient of the corresponding cluster. In particular, the
clusters exchange the aggregate quantities instead of their decisions to
relieve the burden of communication. Under strongly monotone and mildly
Lipschitz continuous assumptions, we rigorously prove that the algorithm
linearly converges to a Nash equilibrium with a fixed step size.We present the
applications in the context of the Energy Internet. Furthermore, the numerical
results verify the effectiveness of the algorithm."
